教育階段,公私立別,合計,專科,專科百分比,大學,大學百分比,碩士,碩士百分比,博士,博士百分比
103年度,總計,194717,1362,0.7,92630,47.57,98331,50.5,2394,1.23
104年度,總計,192035,1248,0.65,84516,44.01,103709,54.01,2562,1.33
104年度,公立,168631,309,0.18,70710,41.93,95234,56.47,2378,1.41
104年度,私立,23404,939,4.01,13806,58.99,8475,36.21,184,0.79
幼兒園,小計,12113,944,7.79,8640,71.33,2514,20.75,15,0.12
幼兒園,公立,5790,74,1.28,3627,62.64,2078,35.89,11,0.19
幼兒園,私立,6323,870,13.76,5013,79.28,436,6.9,4,0.06
國民小學,小計,86848,237,0.27,37859,43.59,47793,55.03,959,1.1
國民小學,公立,85349,224,0.26,36928,43.27,47248,55.36,949,1.11
國民小學,私立,1499,13,0.87,931,62.11,545,36.36,10,0.67
國民中學,小計,44419,8,0.02,20531,46.22,23480,52.86,400,0.9
國民中學,公立,44033,7,0.02,20309,46.12,23319,52.96,398,0.9
國民中學,私立,386,1,0.26,222,57.51,161,41.71,2,0.52
高級中學,小計,33235,31,0.09,12142,36.53,20340,61.2,722,2.17
高級中學,公立,21465,0,0,6321,29.45,14551,67.79,593,2.76
高級中學,私立,11770,31,0.26,5821,49.46,5789,49.18,129,1.1
高級職業學校,小計,13817,27,0.2,4620,33.44,8736,63.23,434,3.14
高級職業學校,公立,10391,3,0.03,2801,26.96,7192,69.21,395,3.8
高級職業學校,私立,3426,24,0.7,1819,53.09,1544,45.07,39,1.14
特殊教育學校,小計,1526,1,0.07,701,45.94,796,52.16,28,1.83
特殊教育學校,公立,1526,1,0.07,701,45.94,796,52.16,28,1.83
矯正學校,小計,77,0,0,23,29.87,50,64.94,4,5.19
矯正學校,公立,77,0,0,23,29.87,50,64.94,4,5.19
